Study_Hours_per_Week,Attendance (%),Midterm_Score,Assignments_Avg,Quizzes_Avg,Final_Score
13.3,91.87,83.34,69.19,66.21,79.77
6.6,61.99,71.8,55.96,93.17,69.79
12.8,59.75,45.76,62.25,57.94,56.22
13.1,75.25,80.67,55.01,79.54,75.2
23.2,88.44,89.93,90.37,65.86,86.38
20.9,53.1,71.27,56.76,56.76,68.01
27.2,78.84,93.6,79.77,79.94,89.72
16.8,55.96,58.66,67.14,79.01,65.17
8.0,51.82,55.68,61.3,89.03,61.87
22.8,52.64,56.53,81.97,92.16,67.47
24.0,91.71,69.52,72.85,90.76,75.0
19.0,55.9,96.52,70.01,74.68,89.8
24.3,52.26,96.96,79.64,86.36,91.95
17.3,71.89,68.16,74.56,83.32,69.88
18.1,92.2,80.78,65.17,74.99,73.25
15.7,63.12,87.96,77.95,84.54,83.47
5.6,71.09,56.15,83.47,100.0,69.35
7.7,52.0,52.4,51.33,62.72,54.1
5.8,72.45,100.0,73.29,99.69,91.09
20.9,78.88,83.32,52.88,55.84,74.65
12.9,78.55,100.0,59.32,68.98,84.39
17.7,66.62,65.58,78.03,69.09,71.66
27.7,65.78,90.49,93.31,86.92,89.06
11.2,55.33,56.72,94.14,62.21,65.75
15.3,68.34,60.26,53.5,97.33,66.62
23.9,54.97,77.88,70.96,95.69,78.79
10.7,88.33,62.39,79.15,87.35,74.0
6.9,98.31,52.13,57.35,76.36,60.67
12.2,98.5,59.43,88.27,100.0,73.82
9.0,93.25,44.84,87.21,96.77,63.45
28.2,80.04,90.73,95.17,80.68,92.2
25.2,85.04,77.09,50.42,88.12,74.58
20.8,64.26,51.89,60.83,82.0,61.97
26.8,81.54,58.34,91.36,84.88,71.11
25.1,72.78,53.68,83.53,71.56,68.68
9.7,74.1,79.67,94.72,78.78,81.5
27.3,87.89,53.84,52.86,57.08,64.11
18.5,64.1,90.81,79.85,72.66,88.94
25.2,65.9,48.79,78.45,89.5,66.22
27.4,96.23,63.18,51.78,100.0,70.27
13.0,52.81,97.34,75.68,100.0,86.88
7.8,74.28,85.45,80.48,82.62,83.09
10.7,95.64,47.59,59.56,83.9,59.11
15.7,80.52,93.98,63.67,63.11,83.26
25.5,77.32,77.23,82.02,89.69,84.45
26.5,62.49,98.76,73.42,57.94,85.66
5.2,67.16,77.6,92.9,69.8,75.75
17.8,92.6,86.25,67.12,87.45,81.82
15.4,77.96,100.0,63.33,69.32,87.44
10.6,75.74,57.12,99.24,58.44,68.88
8.0,54.98,79.84,95.56,97.32,80.41
13.4,50.8,71.64,51.45,68.61,68.32
28.6,98.18,50.95,88.54,58.47,64.29
13.1,68.85,44.8,55.52,57.07,51.29
18.0,80.16,52.55,51.37,65.67,58.22
22.6,53.99,85.73,63.68,62.72,76.82
14.1,84.16,78.26,63.47,92.53,78.51
29.3,96.63,82.0,90.97,71.54,85.55
29.1,78.78,50.64,85.53,95.36,72.28
11.3,56.31,71.55,99.08,64.63,75.0
17.4,79.09,100.0,85.58,79.77,91.46
12.5,88.32,67.61,70.91,88.65,74.35
12.1,70.32,81.13,84.95,87.7,80.89
5.9,93.99,88.56,99.97,86.06,90.48
20.2,82.43,93.1,85.51,100.0,91.78
17.6,94.96,76.44,88.08,66.71,74.51
6.3,81.18,93.37,96.92,80.51,90.8
12.0,56.56,67.08,55.68,97.54,70.09
27.7,65.48,100.0,85.24,59.0,92.36
11.0,60.09,57.71,92.54,58.34,62.69
8.6,95.44,59.39,97.72,67.53,68.99
17.2,88.02,48.35,60.55,85.28,59.15
29.6,83.82,96.61,75.2,67.5,87.29
11.1,65.05,68.35,84.03,64.55,74.45
21.8,59.2,60.29,62.37,76.68,65.58
24.0,87.82,61.11,80.02,85.48,71.9
10.9,73.71,97.35,62.88,66.2,84.15
23.2,61.29,96.99,66.67,69.03,86.59
14.2,80.83,77.47,72.08,85.0,70.92
20.8,52.02,83.21,76.46,100.0,81.35
20.8,66.31,74.7,72.47,88.09,73.95
18.4,73.43,69.02,74.66,93.63,75.21
7.3,57.4,97.12,64.93,72.24,82.19
25.9,99.23,55.31,57.95,67.09,63.51
13.0,60.45,69.01,52.37,75.85,62.92
9.7,56.52,63.58,59.8,93.95,65.95
6.0,60.18,71.69,79.1,77.56,74.42
19.8,88.45,73.4,89.31,97.7,83.56
21.9,71.28,77.7,58.46,100.0,78.51
5.4,78.27,50.02,55.43,56.93,52.2
17.8,51.05,76.13,87.46,57.52,78.16
10.7,51.72,57.76,65.26,61.4,62.32
21.1,72.29,57.39,97.57,75.07,70.87
9.4,90.83,46.71,85.72,61.69,56.69
22.3,94.26,92.45,66.34,97.51,89.12
14.7,54.34,70.06,64.48,55.03,66.39
28.4,76.92,86.12,76.18,70.36,83.9
8.4,95.66,86.18,53.96,62.47,75.69
13.5,69.4,84.81,55.88,99.93,81.82
7.8,91.48,70.57,58.79,87.0,70.26
28.1,56.68,71.7,88.74,100.0,80.19
26.9,96.77,70.63,75.69,100.0,81.6
11.4,87.57,81.82,50.53,77.88,73.15
21.5,97.07,76.14,83.68,66.74,80.18
25.4,83.83,98.57,71.18,63.96,87.67
18.9,68.17,98.15,75.54,65.68,85.18
18.2,96.91,55.69,60.71,89.07,65.15
11.0,63.78,51.47,77.59,56.68,61.33
7.3,66.61,80.01,98.96,58.51,81.59
27.4,85.04,66.29,53.67,83.63,72.69
27.5,88.27,49.36,64.2,85.95,62.78
20.8,96.47,99.56,62.15,86.99,87.2
13.5,60.24,57.66,62.43,72.34,61.78
13.7,89.9,99.87,68.94,94.44,87.61
23.1,86.93,89.98,90.91,82.13,88.52
27.4,53.19,93.98,95.64,61.01,88.37
27.2,69.36,60.25,60.11,93.46,69.66
24.5,64.14,61.4,77.15,100.0,68.08
21.1,65.22,77.61,81.84,57.91,75.35
7.1,99.15,52.46,76.09,74.14,61.63
9.0,82.14,61.03,71.7,78.68,69.02
27.5,85.88,67.54,59.6,60.9,67.29
20.2,98.83,55.64,74.41,97.85,69.54
5.2,68.86,53.87,70.06,68.41,60.11
7.5,90.09,89.56,89.78,94.54,89.22
21.6,71.73,56.51,88.18,88.84,71.46
5.1,93.48,43.24,56.7,83.3,54.96
9.0,59.03,80.46,54.43,62.88,70.14
18.7,97.38,100.0,95.41,66.76,89.73
22.3,60.94,66.56,76.78,56.98,70.24
21.3,66.31,53.51,92.89,67.61,68.09
10.6,87.81,77.4,52.91,70.44,68.62
22.8,69.69,100.0,76.33,96.24,89.88
10.9,80.41,90.31,76.97,72.94,83.55
13.1,72.23,81.28,93.04,93.31,84.18
23.7,87.12,66.01,54.88,75.26,66.73
21.2,61.42,78.87,62.02,92.96,76.11
26.2,52.92,53.33,70.33,100.0,62.96
21.4,65.0,87.16,93.29,67.59,87.67
19.2,73.72,89.27,96.94,98.94,87.84
7.3,58.4,100.0,99.64,87.07,93.57
14.2,67.74,59.88,97.96,96.74,73.37
11.6,70.0,44.59,50.3,85.6,56.99
11.1,52.87,76.07,52.39,74.34,68.28
29.3,79.17,91.2,57.38,64.84,82.13
14.8,94.22,91.86,67.44,57.55,78.51
27.3,57.59,59.81,91.5,82.27,68.79
20.8,79.89,61.95,94.63,100.0,77.01
24.9,83.24,78.23,59.34,90.46,74.29
17.6,70.97,65.12,80.98,71.23,70.54
19.4,85.05,97.45,95.87,97.11,96.64
17.3,70.54,73.62,73.19,92.84,77.63
9.9,75.23,90.94,55.18,67.39,77.0
23.1,50.37,81.77,72.89,55.09,73.66
12.0,84.59,89.99,68.79,60.04,81.28
5.6,83.07,61.64,78.88,98.6,72.6
21.1,51.92,96.21,71.93,96.15,87.02
9.4,68.41,59.29,50.87,67.81,58.69
28.5,98.95,81.32,99.7,70.24,85.17
28.8,71.04,61.48,77.18,94.27,73.73
27.9,75.1,76.9,73.68,100.0,83.15
14.3,95.5,63.38,97.73,94.82,73.94
5.4,85.86,57.62,57.79,83.75,59.59
28.2,79.1,100.0,59.46,65.7,91.38
15.7,89.89,54.31,90.4,81.71,68.27
29.2,93.22,96.0,63.04,65.46,86.78
29.1,72.84,100.0,89.96,95.8,94.68
26.3,73.76,49.08,63.58,73.16,61.78
12.4,69.3,85.66,51.66,94.78,79.64
14.6,98.34,59.55,75.85,73.63,68.48
26.3,84.86,50.32,59.83,94.8,66.85
12.9,54.16,68.04,87.89,71.94,71.79
9.2,93.15,98.87,82.06,76.93,88.81
18.9,74.03,46.38,96.18,86.54,66.3
28.4,53.44,83.79,89.15,58.86,83.14
22.4,77.49,76.8,59.04,100.0,77.58
19.3,70.86,98.19,90.01,84.08,89.6
7.4,93.89,47.26,82.09,80.32,62.43
20.4,60.2,87.01,83.45,96.98,85.19
29.8,91.32,89.75,91.61,98.79,90.96
8.5,77.88,82.69,78.69,80.83,79.73
18.0,52.73,100.0,73.3,100.0,88.67
26.9,98.59,97.46,81.83,58.15,87.64
23.5,75.63,49.57,64.9,59.55,54.65
22.4,64.54,74.98,59.13,83.39,77.13
22.6,73.47,70.66,80.83,72.55,76.03
14.0,92.89,62.81,61.69,76.91,66.73
12.3,65.25,70.77,54.0,69.64,66.23
25.2,59.63,70.61,50.03,73.24,63.6
25.3,56.45,73.53,80.42,95.96,77.32
26.7,64.89,100.0,68.11,83.76,91.07
27.8,89.0,53.66,87.62,100.0,73.46
17.8,73.58,100.0,68.76,93.47,90.95
17.5,61.37,74.06,74.3,68.14,73.99
25.0,58.31,84.92,70.35,67.44,82.24
21.2,66.64,96.17,82.53,71.74,87.7
22.5,97.0,68.38,67.81,96.23,76.82
24.9,67.15,73.3,98.19,57.25,77.51
27.3,99.41,72.76,96.81,67.32,78.89
13.4,74.26,66.5,92.4,100.0,74.51
14.4,58.96,99.85,96.02,87.75,91.1
7.3,94.56,91.93,72.46,65.69,83.52
19.5,73.02,52.39,76.82,65.57,61.79
5.9,85.48,48.26,87.1,98.36,62.73
16.6,99.19,70.65,84.81,99.78,80.06
18.6,52.51,51.5,94.53,68.48,66.0
12.2,54.83,80.81,85.82,76.18,80.98
19.8,86.02,54.56,99.89,97.72,73.76
5.8,64.09,73.08,67.43,92.6,71.17
5.9,59.22,42.2,91.65,96.2,61.09
25.6,51.97,66.68,84.88,81.01,74.38
14.0,51.09,84.83,84.57,100.0,82.06
8.2,88.72,71.5,66.29,70.28,68.53
18.1,56.72,100.0,89.28,63.19,88.52
24.2,73.39,99.71,95.02,91.14,99.28
10.4,80.29,64.66,60.93,80.63,66.27
20.6,71.42,48.91,81.27,97.61,68.02
7.1,51.36,92.87,69.61,58.24,78.7
6.3,89.18,96.56,99.48,98.15,94.68
18.3,50.53,94.73,73.94,69.1,86.12
18.5,88.09,53.23,61.42,86.43,65.14
20.9,94.67,100.0,69.09,56.16,87.98
23.2,71.64,62.48,82.69,85.44,74.96
29.4,76.78,92.27,53.8,89.09,85.11
17.9,73.85,99.85,80.18,73.25,92.93
13.1,69.46,58.07,96.56,66.56,65.84
24.9,94.37,100.0,92.52,82.43,95.89
11.8,94.7,62.11,53.38,94.86,67.13
16.0,66.79,100.0,99.67,72.16,91.07
7.0,80.75,58.98,84.94,67.72,67.76
5.6,96.35,98.89,58.11,67.44,80.44
29.1,98.1,51.94,50.62,100.0,63.07
25.9,75.45,90.33,58.56,71.47,78.01
22.4,72.64,78.65,91.91,55.69,82.43
15.2,63.93,73.23,51.08,92.14,70.63
9.3,97.94,56.2,61.66,88.66,68.13
8.9,57.14,85.01,87.87,61.7,81.31
11.3,78.99,54.84,79.31,100.0,68.33
18.7,64.13,78.78,89.14,85.75,80.17
22.9,63.95,62.06,87.31,80.28,70.16
21.5,70.25,100.0,52.53,72.26,85.83
12.0,99.94,45.32,94.63,100.0,66.24
28.9,52.75,60.65,61.35,65.88,62.88
23.4,78.93,61.56,77.67,68.95,66.68
18.9,54.13,70.51,82.21,61.05,70.7
20.3,57.73,60.05,58.43,91.47,69.38
15.5,71.98,74.13,98.81,85.71,84.56
11.2,75.52,95.71,74.41,84.91,86.97
13.9,62.94,86.89,52.88,64.09,75.72
23.9,65.82,81.97,96.86,88.37,85.06
5.4,54.35,46.96,79.31,93.03,58.74
7.9,65.16,84.01,84.96,72.99,82.66
6.2,98.33,51.84,76.26,94.65,68.19
6.0,97.24,88.98,91.74,72.94,83.42
26.4,66.74,62.92,51.66,91.01,67.43
22.6,78.54,71.8,63.42,55.5,69.81
16.9,95.48,66.1,73.48,81.97,71.33
7.4,50.31,93.75,53.83,100.0,83.69
17.3,90.53,52.78,85.3,100.0,66.61
16.8,97.42,78.98,69.68,68.27,77.74
9.3,54.57,51.31,63.63,75.89,60.0
15.8,58.07,87.03,50.17,56.16,74.0
15.0,98.04,98.8,85.99,98.83,95.23
20.4,76.88,72.2,91.69,83.93,79.16
20.9,50.71,75.56,69.75,73.45,76.59
6.1,62.88,97.48,78.21,60.33,81.38
14.4,72.5,75.58,61.38,100.0,74.72
20.6,84.65,75.44,81.11,81.38,78.54
17.6,86.66,79.98,50.61,67.19,68.3
26.4,99.77,89.27,74.43,71.98,83.38
21.5,64.38,52.86,82.21,68.46,63.22
9.1,76.91,92.0,95.91,85.84,90.31
6.8,76.67,68.17,69.07,100.0,70.45
21.1,70.28,50.67,88.26,98.13,66.56
5.7,58.46,88.88,79.88,77.81,83.09
19.6,98.87,68.5,96.35,97.1,76.99
28.5,92.67,54.57,69.92,75.36,62.57
19.4,74.92,83.85,65.95,66.58,77.37
14.7,80.16,97.22,94.36,100.0,90.93
21.1,61.36,99.6,52.46,68.34,81.13
16.5,77.19,100.0,56.82,69.6,85.91
18.6,84.75,97.64,54.12,100.0,88.62
28.5,75.76,48.68,92.16,62.23,66.92
14.7,99.51,67.22,50.53,91.06,71.14
29.0,80.57,97.81,93.08,100.0,98.48
27.6,68.55,70.26,72.56,79.94,70.65
9.9,88.61,79.06,50.2,53.14,70.84
6.7,58.52,78.39,70.08,72.95,72.75
7.5,69.23,64.15,59.34,59.14,61.8
5.5,67.35,95.92,81.22,75.68,86.75
7.4,71.59,72.41,83.97,94.54,72.97
22.1,89.09,74.52,74.38,76.4,73.53
6.8,74.21,100.0,52.03,74.72,83.87
13.0,89.7,73.51,82.81,82.81,77.95
26.1,78.82,58.53,92.1,84.61,73.05
5.6,67.1,72.46,86.02,97.97,74.84
25.4,90.5,96.46,91.5,70.91,93.23
12.0,61.91,90.21,60.03,94.68,82.76
8.0,61.22,89.71,94.44,83.97,86.14
22.4,75.23,89.2,66.11,69.0,79.52
20.7,63.04,61.46,50.67,67.8,62.22
26.9,50.45,99.8,92.17,73.59,94.15
23.4,82.41,100.0,97.09,86.96,98.31
25.1,75.55,59.18,82.78,66.51,68.5
12.1,72.28,51.46,61.57,99.71,61.63
9.4,98.35,100.0,62.59,82.51,86.71
23.8,78.56,99.24,73.33,100.0,92.67
25.2,93.17,100.0,94.89,58.01,92.0
29.8,56.97,100.0,57.48,70.58,81.07
15.3,78.46,77.09,91.3,56.62,79.93
14.3,93.4,83.07,64.57,67.48,80.74
24.4,79.16,80.04,90.43,98.53,84.02
13.5,85.9,47.12,96.01,57.59,60.73
28.3,68.6,93.22,71.37,76.09,86.1
26.5,54.62,78.27,68.25,59.98,74.81
15.7,72.9,83.57,90.11,76.25,84.72
23.8,69.72,77.3,76.47,96.53,80.4
23.9,93.35,76.68,84.22,86.2,79.9
7.6,62.2,52.59,81.14,91.71,61.95
27.6,98.34,65.0,57.64,70.92,70.87
17.6,97.91,54.81,92.24,100.0,72.96
25.7,62.38,59.45,59.79,89.05,68.76
13.0,67.4,100.0,96.61,76.89,90.44
27.4,94.78,57.41,62.53,75.07,69.84
14.7,98.33,60.57,86.69,100.0,70.12
5.3,72.17,77.03,64.23,82.67,74.6
27.6,66.05,84.89,65.89,89.27,78.47
7.3,76.3,51.43,65.5,74.78,58.05
13.0,84.39,91.52,87.39,66.42,88.47
28.8,63.67,95.75,77.84,90.85,91.95
28.8,86.82,62.88,94.15,86.04,75.45
19.3,52.58,63.11,65.37,78.99,66.25
20.8,52.46,100.0,84.6,86.28,91.82
16.2,69.31,94.4,87.65,65.67,87.93
12.3,67.67,85.56,57.57,93.15,81.0
13.2,65.78,48.89,70.03,100.0,61.44
21.8,74.55,71.64,74.14,99.01,73.95
23.8,66.04,80.7,67.78,70.14,77.77
24.8,59.61,58.68,66.11,74.27,64.88
24.7,65.47,74.3,84.32,95.48,77.64
7.3,98.75,78.25,60.79,83.41,75.37
17.4,70.56,64.86,85.47,82.53,72.44
6.4,72.24,88.78,96.75,100.0,88.4
18.7,78.83,96.04,78.26,81.5,86.89
16.0,99.17,64.22,80.57,80.58,73.24
27.2,62.08,98.48,53.45,55.31,80.58
13.8,84.06,50.35,93.22,59.06,62.5
7.9,85.8,92.63,64.27,54.23,79.14
8.6,80.37,51.75,80.75,100.0,68.97
24.0,54.43,52.18,98.96,76.36,69.91
20.5,83.84,84.66,79.78,78.22,84.96
7.5,53.2,70.57,86.24,97.44,77.84
7.1,79.81,96.6,72.27,84.8,92.85
22.5,86.98,68.54,53.02,83.66,70.34
6.8,60.55,59.27,89.88,70.22,69.81
25.5,92.08,77.69,51.75,94.8,78.71
22.7,51.52,74.17,85.03,63.39,77.63
7.0,92.19,62.77,51.15,55.73,64.73
7.1,73.02,83.75,93.12,65.17,80.1
29.7,60.88,94.48,57.88,66.86,82.43
14.4,56.69,95.5,75.71,68.66,85.33
14.3,97.67,100.0,79.86,88.32,91.42
25.3,53.63,63.59,72.88,65.26,69.12
28.7,59.95,91.58,67.04,87.85,88.52
29.7,67.39,72.57,73.39,58.96,73.19
23.8,81.01,87.76,65.57,61.29,79.94
14.4,77.24,72.88,71.91,79.75,74.32
7.1,56.28,100.0,67.95,100.0,87.3
24.4,64.49,91.05,78.31,97.68,84.42
19.0,61.94,100.0,61.9,100.0,87.75
15.6,60.68,94.78,99.43,88.49,92.68
27.7,70.56,100.0,75.04,88.29,94.65
7.8,85.2,91.21,59.71,84.83,79.03
17.3,60.87,72.74,73.85,85.57,72.54
5.3,68.33,56.7,93.32,62.96,65.8
16.7,69.55,67.23,51.09,80.26,63.22
6.4,98.82,43.13,83.98,74.34,58.58
8.0,97.73,73.84,77.4,76.77,71.78
7.9,90.01,72.67,58.48,79.69,73.29
21.2,62.08,77.88,90.87,61.87,77.47
23.7,53.4,100.0,68.44,72.08,90.64
19.6,65.85,100.0,64.69,57.05,87.14
29.1,63.34,58.43,91.41,100.0,72.9
14.4,75.3,66.45,81.93,60.85,68.38
12.1,88.89,69.07,94.91,68.62,74.93
26.7,92.92,69.64,81.49,99.45,78.78
10.6,92.24,91.09,87.04,79.36,87.21
29.1,67.98,80.17,91.82,62.29,80.51
5.3,84.36,75.92,52.74,72.37,71.29
29.2,65.64,99.94,88.8,61.12,92.22
6.1,53.05,90.19,80.69,64.85,80.24
27.3,85.08,56.12,53.48,55.81,60.16
18.2,50.49,88.29,75.43,76.44,81.7
29.8,70.46,75.07,54.12,93.58,74.03
6.8,66.47,59.72,86.8,84.51,68.69
18.8,84.67,48.64,77.33,84.96,63.88
29.2,88.31,77.99,97.68,65.89,83.68
18.1,65.2,66.76,59.16,70.74,70.73
20.7,90.58,61.3,80.3,97.08,72.67
22.4,64.7,88.4,60.58,58.02,80.49
16.4,72.32,91.09,80.7,97.74,87.88
20.7,86.35,60.9,86.13,79.35,71.31
19.6,84.65,48.85,86.12,97.03,66.72
27.5,99.37,99.18,90.75,71.34,93.82
6.1,61.26,42.43,92.68,72.5,59.38
12.0,83.12,99.83,53.86,90.81,84.14
28.8,80.48,86.3,67.16,93.28,81.55
27.3,95.75,67.5,84.36,66.54,76.32
16.4,57.82,59.71,74.93,100.0,70.89
20.5,87.59,46.69,59.53,57.79,58.17
11.9,78.41,57.7,77.64,58.09,64.59
9.7,63.73,51.17,70.37,84.0,62.62
16.6,73.72,81.71,69.5,90.31,80.93
13.8,66.69,54.13,90.49,100.0,70.63
19.6,78.97,77.6,70.38,74.47,75.01
6.9,94.45,77.48,51.32,54.34,67.18
29.4,78.47,66.7,52.9,83.31,69.31
29.7,81.59,51.01,92.81,70.05,68.07
22.5,75.94,48.99,98.03,77.53,66.9
18.4,52.56,47.1,84.42,79.49,58.73
12.7,61.64,88.16,68.22,57.32,81.3
25.3,74.6,66.67,96.93,80.12,76.76
22.1,65.51,94.41,83.14,76.31,88.41
9.1,59.09,68.63,92.22,91.16,77.49
27.8,75.21,75.52,88.29,87.58,77.2
25.6,66.14,78.45,68.96,63.4,75.14
28.7,62.91,91.39,73.94,64.75,83.77
23.1,73.2,63.34,59.31,66.11,65.71
20.3,56.66,53.39,64.6,62.83,60.18
15.5,96.39,78.01,88.91,88.19,84.61
28.3,93.39,68.11,94.7,100.0,82.31
26.7,85.38,74.56,86.22,87.78,82.73
6.1,55.31,80.65,73.26,84.73,76.66
5.7,88.79,71.36,54.33,73.76,65.56
14.4,90.4,81.54,52.85,68.8,70.46
25.3,88.39,80.24,68.72,99.67,78.91
29.7,55.7,93.3,73.19,100.0,89.66
8.8,82.2,85.0,80.46,79.67,81.41
19.9,91.72,78.02,50.32,67.53,72.45
14.5,78.87,85.08,99.49,94.48,86.77
29.2,82.32,100.0,68.2,60.71,92.22
26.1,72.92,73.77,92.4,93.82,80.18
26.0,76.44,72.57,76.75,95.56,80.12
16.7,51.72,90.86,56.52,59.64,77.79
15.4,81.95,79.57,89.88,100.0,83.43
11.8,54.07,47.8,85.49,100.0,66.14
6.4,71.75,95.45,76.37,100.0,90.19
26.6,64.63,49.83,75.73,79.34,63.48
25.3,77.27,92.49,54.37,65.56,82.93
30.0,56.67,94.53,82.79,84.07,90.56
29.9,84.58,100.0,95.56,76.73,95.66
18.9,89.75,48.92,54.66,63.58,57.85
24.2,58.17,83.07,63.18,74.97,76.82
28.6,55.22,74.25,95.12,88.9,81.07
26.2,57.28,67.7,64.22,57.4,67.44
11.2,93.86,48.78,82.7,71.63,64.18
16.3,76.41,78.65,76.74,55.49,75.52
8.2,73.36,71.2,79.82,92.26,72.3
28.9,55.34,54.94,70.79,86.28,65.09
20.2,82.48,82.81,65.0,57.03,70.78
10.7,93.4,87.49,52.43,100.0,79.34
21.8,91.41,92.58,87.21,56.36,86.89
20.5,81.3,100.0,87.3,84.74,92.92
14.0,53.76,68.77,83.54,93.83,78.16
7.8,55.62,99.52,82.18,94.32,90.76
21.8,52.47,98.47,62.19,55.44,84.38
18.0,62.87,63.19,51.12,98.39,63.75
24.3,56.78,56.85,90.44,100.0,71.29
18.0,63.0,71.52,74.56,82.54,73.17
26.3,69.25,72.0,65.34,78.02,72.3
18.8,97.15,80.18,55.1,55.55,72.18
19.0,80.52,80.7,53.14,81.29,72.27
26.9,91.75,93.07,67.44,74.52,83.72
15.1,85.52,75.12,90.24,94.05,82.34
8.4,55.63,48.81,95.94,75.95,63.14
5.7,86.8,93.21,94.84,89.87,88.3
23.9,63.75,65.76,96.0,60.83,73.84
20.5,81.96,100.0,95.39,62.37,94.55
22.6,67.05,53.85,76.36,61.57,63.72
10.3,99.88,100.0,60.97,55.94,85.1
8.4,63.18,47.98,89.9,82.46,61.24
5.4,63.96,55.48,60.69,93.34,60.74
13.8,96.53,46.93,63.36,84.32,60.37
19.7,51.23,88.22,61.66,82.45,83.83
14.8,84.83,95.46,75.75,88.58,90.79
15.9,86.27,70.81,66.09,70.95,72.56
27.6,91.82,100.0,57.71,71.56,88.02
13.7,98.72,79.53,72.66,70.07,80.07
17.8,98.78,83.14,93.7,91.23,87.86
24.6,53.26,98.11,78.53,62.79,83.35
14.9,91.09,62.28,93.92,56.29,68.77
20.6,82.32,67.44,59.79,83.4,71.06
26.6,82.37,100.0,58.35,100.0,86.99
28.7,56.42,100.0,78.78,85.2,90.24
8.7,82.51,100.0,73.17,93.54,88.12
28.2,99.12,100.0,83.01,88.62,94.36
17.3,95.59,52.83,89.73,80.25,67.51
